Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ECR VS. ADP,PS,Baseline
Kylen Granson,TE,IND/14,-3.98,1.36,57.0,10,37|07,367.5,0.0,0.0,
Geoff Swaim,TE,TEN/13,-4.04,0.6,58.0,10,35|10,350.1,0.0,0.0,
Brycen Hopkins,TE,LAR/11,-4.1,0.8,59.0,10,36|09,359.8,0.0,0.0,
Josh Hill,TE,/,-4.1,0.16,60.0,10,,,,0.0,
Kahale Warring,TE,HOU/10,-4.15,0.53,62.0,10,37|01,361.6,0.0,0.0,
Chris Manhertz,TE,JAX/7,-4.17,0.56,63.0,10,,,,0.0,
Adam Shaheen,TE,MIA/14,-4.26,0.38,64.0,10,34|09,339.0,0.0,0.0,
Hunter Long,TE,MIA/14,-4.27,0.57,65.0,10,34|06,336.8,0.0,0.0,
Jacob Harris,TE,LAR/11,-4.36,0.37,66.0,10,,,,0.0,
Marcedes Lewis,TE,GB/13,-4.39,0.62,67.0,10,,,,0.0,
Ross Dwelley,TE,SF/6,-4.7,0.57,68.0,10,38|03,373.0,0.0,0.0,
Tre McKitty,TE,LAC/7,-4.76,0.68,69.0,10,38|06,376.5,0.0,0.0,
Thaddeus Moss,TE,CIN/10,-4.77,0.77,70.0,10,,,,0.0,
Tyreek Hill,WR,KC/12,6.27,1.43,1.0,1,1|10,10.7,-0.2,0.91,
Davante Adams,WR,GB/13,5.16,1.59,2.0,1,2|03,13.4,0.2,0.83,
Stefon Diggs,WR,BUF/7,4.53,1.36,3.0,2,2|03,13.7,0.0,0.76,
Calvin Ridley,WR,ATL/6,4.48,0.88,4.0,2,2|06,16.3,-1.0,0.69,
AJ Brown,WR,TEN/13,3.96,1.14,5.0,2,2|10,20.4,-0.2,0.63,
DeAndre Hopkins,WR,ARI/12,3.81,0.85,6.0,2,2|09,19.5,0.0,0.57,
DK Metcalf,WR,SEA/9,3.75,0.93,7.0,2,2|09,19.7,0.0,0.52,
Justin Jefferson,WR,MIN/7,3.42,1.59,8.0,3,3|02,22.7,-0.3,0.46,
Mike Evans,WR,TB/9,2.41,0.68,9.0,3,4|01,31.5,-1.2,0.43,
Terry McLaurin,WR,WAS/9,2.29,1.12,10.0,3,3|10,30.1,-1.0,0.39,
Allen Robinson,WR,CHI/10,2.22,0.69,11.0,4,4|02,32.1,-0.7,0.36,
Amari Cooper,WR,DAL/7,2.08,0.65,12.0,4,4|07,37.6,-1.0,0.33,
Keenan Allen,WR,LAC/7,1.91,0.96,13.0,4,4|03,33.9,0.0,0.3,
Chris Godwin,WR,TB/9,1.87,0.74,14.0,4,4|08,38.0,-0.8,0.27,
DJ Moore,WR,CAR/13,1.86,0.59,15.0,4,5|01,41.9,-1.5,0.24,
CeeDee Lamb,WR,DAL/7,1.78,1.1,16.0,4,4|07,37.1,-1.0,0.22,
Robert Woods,WR,LAR/11,1.7,0.88,17.0,4,5|03,43.9,-0.7,0.19,
Julio Jones,WR,TEN/13,1.67,1.09,18.0,4,4|08,38.0,-0.2,0.17,
Adam Thielen,WR,MIN/7,1.63,0.57,19.0,4,5|05,45.9,0.1,0.14,
Tyler Lockett,WR,SEA/9,1.47,0.74,20.0,4,6|06,56.8,0.0,0.12,
Kenny Golladay,WR,NYG/10,1.38,0.85,21.0,4,5|07,47.2,-1.1,0.1,
Cooper Kupp,WR,LAR/11,1.29,0.82,22.0,4,6|03,53.8,-1.0,0.08,
JaMarr Chase,WR,CIN/10,0.99,0.68,23.0,4,7|04,64.4,0.0,0.06,
Courtland Sutton,WR,DEN/11,0.75,0.67,24.0,5,7|03,63.2,-2.0,0.05,
Tee Higgins,WR,CIN/10,0.74,1.11,25.0,5,6|09,59.2,-0.8,0.04,
Odell Beckham,WR,CLE/13,0.72,0.91,26.0,5,6|06,56.8,-1.7,0.03,
Chase Claypool,WR,PIT/7,0.66,1.38,27.0,5,7|07,67.1,-0.7,0.02,
Brandin Cooks,WR,HOU/10,0.55,1.21,28.0,5,9|02,82.2,-1.6,0.01,
Brandon Aiyuk,WR,SF/6,0.37,1.02,29.0,5,6|05,55.3,-1.2,0.01,
Diontae Johnson,WR,PIT/7,0.35,0.79,30.0,5,7|02,62.5,-0.2,0.0,
Robby Anderson,WR,CAR/13,-0.05,0.72,31.0,5,9|02,82.2,-1.0,0.0,
DJ Chark,WR,JAX/7,-0.05,0.88,32.0,5,7|10,70.5,-1.1,0.0,
JuJu Smith-Schuster,WR,PIT/7,-0.11,0.74,33.0,5,9|02,82.2,0.5,0.0,
Curtis Samuel,WR,WAS/9,-0.14,0.97,34.0,5,9|06,86.2,-1.6,0.0,
Deebo Samuel,WR,SF/6,-0.17,0.92,35.0,5,8|10,80.1,-1.8,0.0,
Tyler Boyd,WR,CIN/10,-0.28,0.7,36.0,5,10|02,92.0,0.7,0.0,
Will Fuller,WR,MIA/14,-0.31,1.09,37.0,5,9|04,84.5,-1.1,0.0,
Michael Gallup,WR,DAL/7,-0.4,0.73,38.0,6,11|02,102.3,-1.9,0.0,
Marquise Brown,WR,BAL/8,-0.46,0.92,39.0,6,11|02,102.2,0.3,0.0,
Jerry Jeudy,WR,DEN/11,-0.47,0.9,40.0,6,9|03,83.0,-1.8,0.0,
Mike Williams,WR,LAC/7,-0.47,0.68,41.0,6,11|04,104.2,-2.7,0.0,
Michael Thomas,WR,NO/6,-0.52,1.78,42.0,6,3|10,30.5,-0.3,0.0,
DeVonta Smith,WR,PHI/14,-0.53,1.06,43.0,6,10|03,93.1,-0.1,0.0,
Jarvis Landry,WR,CLE/13,-0.6,0.9,44.0,6,10|06,96.4,0.5,0.0,
Marvin Jones,WR,JAX/7,-0.7,0.93,45.0,6,13|01,121.2,-0.1,0.0,
Corey Davis,WR,NYJ/6,-0.85,0.81,46.0,6,11|08,108.8,-1.6,0.0,
Antonio Brown,WR,TB/9,-0.97,1.11,47.0,6,12|04,114.2,-0.1,0.0,
TY Hilton,WR,IND/14,-0.98,1.05,48.0,6,14|01,131.4,1.1,0.0,
Laviska Shenault,WR,JAX/7,-1.06,1.07,49.0,6,11|07,107.8,-0.6,0.0,
DeVante Parker,WR,MIA/14,-1.11,1.15,50.0,6,11|05,105.9,-0.2,0.0,
Henry Ruggs,WR,LV/8,-1.25,0.97,51.0,6,15|06,146.1,-0.3,0.0,
